"","x"
"1",23648064
"2",25768537
"3",26283696
"4",26558634
"5",26760296
"6",26915868
"7",27035043
"8",27124353
"9",27189026
"10",27233357
"11",27260891
"12",27274555
"13",27276766
"14",27269520
"15",27254464
"16",27232960
"17",27206131
"18",27174905
"19",27140049
"20",27102194
"21",27061864
"22",27019490
"23",26975427
"24",26929971
"25",26883363
"26",26835805
"27",26787463
"28",26738472
"29",26688946
"30",26638979
"31",26588646
"32",26538012
"33",26487130
"34",26436041
"35",26384784
"36",26333386
"37",26281872
"38",26230263
"39",26178576
"40",26126823
"41",26075016
"42",26023165
"43",25971277
"44",25919359
"45",25867416
"46",25815452
"47",25763471
"48",25711476
"49",25659470
"50",25607454
"51",25555430
"52",25503399
"53",25451363
"54",25399323
"55",25347279
"56",25295231
"57",25243182
"58",25191130
"59",25139076
"60",25087022
"61",25034966
"62",24982909
"63",24930851
"64",24878792
"65",24826733
"66",24774674
"67",24722614
"68",24670554
"69",24618493
"70",24566433
"71",24514372
"72",24462311
"73",24410250
"74",24358189
"75",24306128
"76",24254066
"77",24202005
"78",24149944
"79",24097882
"80",24045821
"81",23993759
"82",23941698
"83",23889636
"84",23837575
"85",23785513
"86",23733452
"87",23681390
"88",23629329
"89",23577267
"90",23525206
"91",23473144
"92",23421082
"93",23369021
"94",23316959
"95",23264898
"96",23212836
"97",23160775
"98",23108713
"99",23056651
"100",23004590
"101",22952528
"102",22900467
"103",22848405
"104",22796343
"105",22744282
"106",22692220
"107",22640159
"108",22588097
"109",22536036
"110",22483974
"111",22431912
"112",22379851
"113",22327789
"114",22275728
"115",22223666
"116",22171604
"117",22119543
"118",22067481
"119",22015420
"120",21963358
"121",21911296
"122",21859235
"123",21807173
"124",21755112
"125",21703050
"126",21650989
"127",21598927
"128",21546865
"129",21494804
"130",21442742
"131",21390681
"132",21338619
"133",21286557
"134",21234496
"135",21182434
"136",21130373
"137",21078311
"138",21026249
"139",20974188
"140",20922126
